,A1_mosquito_data,A2_mosquito_data,A3_mosquito_data,B1_mosquito_data,B2_mosquito_data
Intercept,49.84128251939731,41.15981636868465,38.045687571045505,56.592106287443,60.78804451073671
rainfall,0.6591738931994534,0.6958849668715863,0.3083767813611324,0.20977598038531775,0.6872693494672675
